State,Month,Category,Monthly_Category_Revenue
New Jersey,2024-09,Apparel and Merchandise,3717.21
New Jersey,2024-09,Art Supplies,3583.54
New Jersey,2024-09,Books (General),1437.94
New Jersey,2024-09,Stationery and Supplies,1573.28
New Jersey,2024-09,Technology & Accessories,72114.99
New Jersey,2024-09,Textbooks,23499.25
New Jersey,2024-10,Apparel and Merchandise,3878.19
New Jersey,2024-10,Art Supplies,3355.59
New Jersey,2024-10,Books (General),1777.57
New Jersey,2024-10,Stationery and Supplies,1422.75
New Jersey,2024-10,Technology & Accessories,76901.63
New Jersey,2024-10,Textbooks,22897.19
New Jersey,2024-11,Apparel and Merchandise,3922.13
New Jersey,2024-11,Art Supplies,3565.81
New Jersey,2024-11,Books (General),2272.04
New Jersey,2024-11,Stationery and Supplies,1460.7
New Jersey,2024-11,Technology & Accessories,71473.26
New Jersey,2024-11,Textbooks,25217.56
New Jersey,2024-12,Apparel and Merchandise,3843.62
New Jersey,2024-12,Art Supplies,3711.06
New Jersey,2024-12,Books (General),1378.19
New Jersey,2024-12,Stationery and Supplies,1576.23
New Jersey,2024-12,Technology & Accessories,91319.93
New Jersey,2024-12,Textbooks,13610.61
New Jersey,2025-01,Apparel and Merchandise,6914.1
New Jersey,2025-01,Art Supplies,7115.14
New Jersey,2025-01,Books (General),3106.02
New Jersey,2025-01,Stationery and Supplies,2758.7599999999998
New Jersey,2025-01,Technology & Accessories,116927.74
New Jersey,2025-01,Textbooks,11736.5
New Jersey,2025-02,Apparel and Merchandise,7147.27
New Jersey,2025-02,Art Supplies,6680.95
New Jersey,2025-02,Books (General),3690.68
New Jersey,2025-02,Stationery and Supplies,2461.46
New Jersey,2025-02,Technology & Accessories,102011.65
New Jersey,2025-02,Textbooks,9110.07
New Jersey,2025-03,Apparel and Merchandise,7673.55
New Jersey,2025-03,Art Supplies,7049.18
New Jersey,2025-03,Books (General),2891.68
New Jersey,2025-03,Stationery and Supplies,2689.31
New Jersey,2025-03,Technology & Accessories,101214.39
New Jersey,2025-03,Textbooks,16565.13
New Jersey,2025-04,Apparel and Merchandise,11098.65
New Jersey,2025-04,Art Supplies,8657.47
New Jersey,2025-04,Books (General),4396.16
New Jersey,2025-04,Stationery and Supplies,3563.73
New Jersey,2025-04,Technology & Accessories,85673.73
New Jersey,2025-04,Textbooks,25236.5
New Jersey,2025-05,Apparel and Merchandise,10778.87
New Jersey,2025-05,Art Supplies,9305.02
New Jersey,2025-05,Books (General),4135.8
New Jersey,2025-05,Stationery and Supplies,3708.45
New Jersey,2025-05,Technology & Accessories,77945.2
New Jersey,2025-05,Textbooks,27991.82
New Jersey,2025-06,Apparel and Merchandise,10067.61
New Jersey,2025-06,Art Supplies,9059.73
New Jersey,2025-06,Books (General),3646.86
New Jersey,2025-06,Stationery and Supplies,4004.17
New Jersey,2025-06,Technology & Accessories,85933.76
New Jersey,2025-06,Textbooks,31809.35
New Jersey,2025-07,Apparel and Merchandise,7230.5199999999995
New Jersey,2025-07,Art Supplies,5018.29
New Jersey,2025-07,Books (General),2480.25
New Jersey,2025-07,Stationery and Supplies,2372.37
New Jersey,2025-07,Technology & Accessories,113591.87
New Jersey,2025-07,Textbooks,18403.8
New Jersey,2025-08,Apparel and Merchandise,6692.03
New Jersey,2025-08,Art Supplies,4799.21
New Jersey,2025-08,Books (General),2073.08
New Jersey,2025-08,Stationery and Supplies,2488.15
New Jersey,2025-08,Technology & Accessories,113411.48
New Jersey,2025-08,Textbooks,22460.04
New Jersey,2025-09,Apparel and Merchandise,6959.82
New Jersey,2025-09,Art Supplies,5455.85
New Jersey,2025-09,Books (General),2291.91
New Jersey,2025-09,Stationery and Supplies,2304.79
New Jersey,2025-09,Technology & Accessories,127062.89
New Jersey,2025-09,Textbooks,19374.52
New Jersey,2025-10,Apparel and Merchandise,10520.89
New Jersey,2025-10,Art Supplies,8754.77
New Jersey,2025-10,Books (General),3972.07
New Jersey,2025-10,Stationery and Supplies,3831.92
New Jersey,2025-10,Technology & Accessories,192758.68
New Jersey,2025-10,Textbooks,30992.13
New Jersey,2025-11,Apparel and Merchandise,7972.29
New Jersey,2025-11,Art Supplies,6032.24
New Jersey,2025-11,Books (General),2454.2400000000002
New Jersey,2025-11,Stationery and Supplies,2301.54
New Jersey,2025-11,Technology & Accessories,110753.42
New Jersey,2025-11,Textbooks,17439.6
New Jersey,2025-12,Apparel and Merchandise,8036.52
New Jersey,2025-12,Art Supplies,6384.2
New Jersey,2025-12,Books (General),1932.69
New Jersey,2025-12,Stationery and Supplies,2307.96
New Jersey,2025-12,Technology & Accessories,131024.14
New Jersey,2025-12,Textbooks,21308.49
