Transaction_Date,Sale_Amount,Store_Location,State,Territory_Manager
2022-01-02,24.2,Hackensack,New Jersey,Miami Vue
2022-01-03,68.88,Montclair,New Jersey,Miami Vue
2022-01-03,122.21,Montclair,New Jersey,Miami Vue
2022-01-03,281.43,New Brunswick,New Jersey,Miami Vue
2022-01-03,5.24,New Brunswick,New Jersey,Miami Vue
2022-01-03,74.28,Trenton,New Jersey,Miami Vue
2022-01-03,36.15,Newark,New Jersey,Miami Vue
2022-01-03,24.28,Passaic,New Jersey,Miami Vue
2022-01-03,752.82,Trenton,New Jersey,Miami Vue
2022-01-03,29.81,Jersey City,New Jersey,Miami Vue
2022-01-03,36.15,Newark,New Jersey,Miami Vue
2022-01-03,178.8,Hoboken,New Jersey,Miami Vue
2022-01-03,36.15,Lewiston,Maine,Erbayne Middleton
2022-01-03,1250.96,Hoboken,New Jersey,Miami Vue
2022-01-03,206.16,Bangor,Maine,Erbayne Middleton
2022-01-03,40.55,Hoboken,New Jersey,Miami Vue
2022-01-03,29.81,Kennebunkport,Maine,Erbayne Middleton
2022-01-03,8.36,South Portland,Maine,Erbayne Middleton
2022-01-03,14.0,Bangor,Maine,Erbayne Middleton
2022-01-03,9.95,Atlantic City,New Jersey,Miami Vue
2022-01-03,112.0,Bayonne,New Jersey,Miami Vue
2022-01-03,8.45,East Orange,New Jersey,Miami Vue
2022-01-03,6.85,Atlantic City,New Jersey,Miami Vue
2022-01-04,1294.3,Trenton,New Jersey,Miami Vue
2022-01-04,24.33,Passaic,New Jersey,Miami Vue
2022-01-04,9.09,Passaic,New Jersey,Miami Vue
2022-01-04,52.9,New Brunswick,New Jersey,Miami Vue
2022-01-04,355.92,Morristown,New Jersey,Miami Vue
2022-01-04,12.32,Montclair,New Jersey,Miami Vue
2022-01-04,52.9,Hackensack,New Jersey,Miami Vue
2022-01-04,65.5,Jersey City,New Jersey,Miami Vue
2022-01-04,36.15,East Orange,New Jersey,Miami Vue
2022-01-04,57.7,East Orange,New Jersey,Miami Vue
2022-01-04,272.24,Clifton,New Jersey,Miami Vue
2022-01-04,17.7,Cape May,New Jersey,Miami Vue
2022-01-04,254.9,Bayonne,New Jersey,Miami Vue
2022-01-04,57.12,Orono,Maine,Erbayne Middleton
2022-01-04,57.12,Bar Harbor,Maine,Erbayne Middleton
2022-01-04,9.45,East Orange,New Jersey,Miami Vue
2022-01-05,815.0,Jersey City,New Jersey,Miami Vue
2022-01-05,16.6,Jersey City,New Jersey,Miami Vue
2022-01-05,76.36,Newark,New Jersey,Miami Vue
2022-01-05,6.02,Newark,New Jersey,Miami Vue
2022-01-05,19.48,Passaic,New Jersey,Miami Vue
2022-01-05,23.44,Trenton,New Jersey,Miami Vue
2022-01-05,238.56,Paterson,New Jersey,Miami Vue
2022-01-05,119.81,Trenton,New Jersey,Miami Vue
2022-01-05,23.44,Trenton,New Jersey,Miami Vue
2022-01-05,66.0,Vineland,New Jersey,Miami Vue
2022-01-05,715.0,Hoboken,New Jersey,Miami Vue
2022-01-05,24.28,Passaic,New Jersey,Miami Vue
2022-01-05,20.36,East Orange,New Jersey,Miami Vue
2022-01-05,107.06,Newark,New Jersey,Miami Vue
2022-01-05,77.36,Clifton,New Jersey,Miami Vue
2022-01-05,50.96,East Orange,New Jersey,Miami Vue
2022-01-05,126.18,Bar Harbor,Maine,Erbayne Middleton
2022-01-05,20.36,Bar Harbor,Maine,Erbayne Middleton
2022-01-05,144.0,Kennebunkport,Maine,Erbayne Middleton
2022-01-05,346.68,Orono,Maine,Erbayne Middleton
2022-01-05,10.16,Orono,Maine,Erbayne Middleton
2022-01-05,39.75,Bangor,Maine,Erbayne Middleton
2022-01-05,206.16,Bayonne,New Jersey,Miami Vue
2022-01-05,2.88,Bayonne,New Jersey,Miami Vue
2022-01-05,215.77,Bayonne,New Jersey,Miami Vue
2022-01-05,303.52,Cape May,New Jersey,Miami Vue
2022-01-05,29.3,South Portland,Maine,Erbayne Middleton
2022-01-06,7.85,Morristown,New Jersey,Miami Vue
2022-01-06,24.28,New Brunswick,New Jersey,Miami Vue
2022-01-06,16.6,New Brunswick,New Jersey,Miami Vue
2022-01-06,1292.0,Newark,New Jersey,Miami Vue
2022-01-06,14.6,Newark,New Jersey,Miami Vue
2022-01-06,213.82,Passaic,New Jersey,Miami Vue
2022-01-06,144.4,Passaic,New Jersey,Miami Vue
2022-01-06,6.85,Passaic,New Jersey,Miami Vue
2022-01-06,66.0,Paterson,New Jersey,Miami Vue
2022-01-06,18.0,Paterson,New Jersey,Miami Vue
2022-01-06,226.79,Trenton,New Jersey,Miami Vue
2022-01-06,205.8,Newark,New Jersey,Miami Vue
2022-01-06,61.14,Jersey City,New Jersey,Miami Vue
2022-01-06,51.96,Hoboken,New Jersey,Miami Vue
2022-01-06,10.16,Hoboken,New Jersey,Miami Vue
2022-01-06,14.0,Hoboken,New Jersey,Miami Vue
2022-01-06,191.95,East Orange,New Jersey,Miami Vue
2022-01-06,837.28,East Orange,New Jersey,Miami Vue
2022-01-06,12.7,Clifton,New Jersey,Miami Vue
2022-01-06,238.56,Clifton,New Jersey,Miami Vue
2022-01-06,74.28,Bayonne,New Jersey,Miami Vue
2022-01-06,50.96,South Portland,Maine,Erbayne Middleton
2022-01-06,52.96,South Portland,Maine,Erbayne Middleton
2022-01-06,52.96,South Portland,Maine,Erbayne Middleton
2022-01-06,6.52,Lewiston,Maine,Erbayne Middleton
2022-01-06,51.96,Hoboken,New Jersey,Miami Vue
2022-01-07,23.44,Jersey City,New Jersey,Miami Vue
2022-01-07,253.4,Newark,New Jersey,Miami Vue
2022-01-07,12.12,Newark,New Jersey,Miami Vue
2022-01-07,9.95,Newark,New Jersey,Miami Vue
2022-01-07,217.34,Trenton,New Jersey,Miami Vue
2022-01-07,771.36,Passaic,New Jersey,Miami Vue
2022-01-07,178.6,Passaic,New Jersey,Miami Vue
2022-01-07,178.6,Trenton,New Jersey,Miami Vue
2022-01-07,39.75,Trenton,New Jersey,Miami Vue
2022-01-07,637.52,Passaic,New Jersey,Miami Vue
2022-01-07,205.8,Clifton,New Jersey,Miami Vue
2022-01-07,19.36,Hoboken,New Jersey,Miami Vue
2022-01-07,26.52,Bayonne,New Jersey,Miami Vue
2022-01-07,6.85,Cape May,New Jersey,Miami Vue
2022-01-07,74.28,Bangor,Maine,Erbayne Middleton
2022-01-07,76.36,Lewiston,Maine,Erbayne Middleton
2022-01-07,9.45,Orono,Maine,Erbayne Middleton
2022-01-07,20.36,Kennebunkport,Maine,Erbayne Middleton
2022-01-07,12.12,Orono,Maine,Erbayne Middleton
2022-01-07,2.88,South Portland,Maine,Erbayne Middleton
2022-01-07,12.4,Atlantic City,New Jersey,Miami Vue
2022-01-07,36.15,Atlantic City,New Jersey,Miami Vue
2022-01-07,12.12,Orono,Maine,Erbayne Middleton
2022-01-08,13.13,Paterson,New Jersey,Miami Vue
2022-01-08,12.12,Newark,New Jersey,Miami Vue
2022-01-08,8.0,Newark,New Jersey,Miami Vue
2022-01-08,134.56,Passaic,New Jersey,Miami Vue
2022-01-08,265.07,Paterson,New Jersey,Miami Vue
2022-01-08,13.13,Paterson,New Jersey,Miami Vue
2022-01-08,43.3,Vineland,New Jersey,Miami Vue
2022-01-08,10.1,Trenton,New Jersey,Miami Vue
2022-01-08,40.55,Trenton,New Jersey,Miami Vue
2022-01-08,219.3,Trenton,New Jersey,Miami Vue
2022-01-08,43.3,Vineland,New Jersey,Miami Vue
2022-01-08,20.36,Vineland,New Jersey,Miami Vue
2022-01-08,10.1,Trenton,New Jersey,Miami Vue
2022-01-08,57.7,Morristown,New Jersey,Miami Vue
2022-01-08,10.16,New Brunswick,New Jersey,Miami Vue
2022-01-08,68.88,Morristown,New Jersey,Miami Vue
2022-01-08,192.26,Morristown,New Jersey,Miami Vue
2022-01-08,39.75,Kennebunkport,Maine,Erbayne Middleton
2022-01-08,26.52,Lewiston,Maine,Erbayne Middleton
2022-01-08,111.6,Orono,Maine,Erbayne Middleton
2022-01-08,12.4,Atlantic City,New Jersey,Miami Vue
2022-01-08,157.28,Atlantic City,New Jersey,Miami Vue
2022-01-08,201.8,Orono,Maine,Erbayne Middleton
2022-01-08,20.36,Cape May,New Jersey,Miami Vue
2022-01-08,1717.7,Clifton,New Jersey,Miami Vue
2022-01-08,23.44,Hackensack,New Jersey,Miami Vue
2022-01-08,17.7,Hoboken,New Jersey,Miami Vue
2022-01-08,36.15,Montclair,New Jersey,Miami Vue
2022-01-08,19.48,Cape May,New Jersey,Miami Vue
2022-01-09,132.9,Passaic,New Jersey,Miami Vue
2022-01-09,28.92,Newark,New Jersey,Miami Vue
2022-01-09,12.12,Newark,New Jersey,Miami Vue
2022-01-09,827.45,Passaic,New Jersey,Miami Vue
2022-01-09,201.8,Passaic,New Jersey,Miami Vue
2022-01-09,68.88,New Brunswick,New Jersey,Miami Vue
2022-01-09,187.25,Paterson,New Jersey,Miami Vue
2022-01-09,48.96,Trenton,New Jersey,Miami Vue
2022-01-09,48.96,Trenton,New Jersey,Miami Vue
2022-01-09,57.12,Trenton,New Jersey,Miami Vue
2022-01-09,111.6,Vineland,New Jersey,Miami Vue
2022-01-09,33.1,Passaic,New Jersey,Miami Vue
2022-01-09,191.95,Montclair,New Jersey,Miami Vue
2022-01-09,33.1,Passaic,New Jersey,Miami Vue
2022-01-09,207.85,Hoboken,New Jersey,Miami Vue
2022-01-09,883.48,Bangor,Maine,Erbayne Middleton
2022-01-09,47.61,Bar Harbor,Maine,Erbayne Middleton
2022-01-09,65.5,Kennebunkport,Maine,Erbayne Middleton
2022-01-09,18.0,Lewiston,Maine,Erbayne Middleton
2022-01-09,39.75,Lewiston,Maine,Erbayne Middleton
2022-01-09,144.4,Orono,Maine,Erbayne Middleton
2022-01-09,114.71,Hoboken,New Jersey,Miami Vue
2022-01-09,798.8,South Portland,Maine,Erbayne Middleton
2022-01-09,2.4,South Portland,Maine,Erbayne Middleton
2022-01-09,20.36,Clifton,New Jersey,Miami Vue
2022-01-09,6.02,East Orange,New Jersey,Miami Vue
2022-01-09,27.52,Hackensack,New Jersey,Miami Vue
2022-01-10,74.28,Trenton,New Jersey,Miami Vue
2022-01-10,29.3,Trenton,New Jersey,Miami Vue
2022-01-10,6.02,Newark,New Jersey,Miami Vue
2022-01-10,12.0,Newark,New Jersey,Miami Vue
2022-01-10,57.7,New Brunswick,New Jersey,Miami Vue
2022-01-10,65.5,New Brunswick,New Jersey,Miami Vue
2022-01-10,10.16,Montclair,New Jersey,Miami Vue
2022-01-10,20.36,Montclair,New Jersey,Miami Vue
2022-01-10,12.7,Hackensack,New Jersey,Miami Vue
2022-01-10,12.15,East Orange,New Jersey,Miami Vue
2022-01-10,12.3,East Orange,New Jersey,Miami Vue
2022-01-10,1301.88,Cape May,New Jersey,Miami Vue
2022-01-10,23.44,Bangor,Maine,Erbayne Middleton
2022-01-10,27.52,East Orange,New Jersey,Miami Vue
2022-01-10,28.92,Bangor,Maine,Erbayne Middleton
2022-01-10,20.36,Bar Harbor,Maine,Erbayne Middleton
2022-01-10,6.0,Lewiston,Maine,Erbayne Middleton
2022-01-10,23.44,Bangor,Maine,Erbayne Middleton
2022-01-10,24.28,Orono,Maine,Erbayne Middleton
2022-01-10,131.07,South Portland,Maine,Erbayne Middleton
2022-01-10,265.07,Bayonne,New Jersey,Miami Vue
2022-01-10,24.28,Orono,Maine,Erbayne Middleton
2022-01-11,20.36,Jersey City,New Jersey,Miami Vue
2022-01-11,20.36,Trenton,New Jersey,Miami Vue
2022-01-11,20.36,Passaic,New Jersey,Miami Vue
2022-01-11,12.3,Newark,New Jersey,Miami Vue
2022-01-11,219.3,Newark,New Jersey,Miami Vue
2022-01-11,44.0,Newark,New Jersey,Miami Vue
2022-01-11,737.52,Newark,New Jersey,Miami Vue
2022-01-11,61.14,Montclair,New Jersey,Miami Vue
2022-01-11,683.36,Hoboken,New Jersey,Miami Vue
2022-01-11,17.7,Paterson,New Jersey,Miami Vue
2022-01-11,4.32,Hackensack,New Jersey,Miami Vue
2022-01-11,26.52,Hackensack,New Jersey,Miami Vue
2022-01-11,24.28,Orono,Maine,Erbayne Middleton
2022-01-11,25.45,Atlantic City,New Jersey,Miami Vue
2022-01-11,136.12,East Orange,New Jersey,Miami Vue
2022-01-11,11.0,Bar Harbor,Maine,Erbayne Middleton
2022-01-11,23.44,East Orange,New Jersey,Miami Vue
2022-01-11,14.6,East Orange,New Jersey,Miami Vue
2022-01-11,226.79,East Orange,New Jersey,Miami Vue
2022-01-11,23.44,East Orange,New Jersey,Miami Vue
2022-01-12,108.33,Hackensack,New Jersey,Miami Vue
2022-01-12,265.07,Trenton,New Jersey,Miami Vue
2022-01-12,50.96,Passaic,New Jersey,Miami Vue
2022-01-12,44.0,Newark,New Jersey,Miami Vue
2022-01-12,30.16,Newark,New Jersey,Miami Vue
2022-01-12,12.3,New Brunswick,New Jersey,Miami Vue
2022-01-12,12.12,Morristown,New Jersey,Miami Vue
2022-01-12,12.12,Morristown,New Jersey,Miami Vue
2022-01-12,32.64,Hackensack,New Jersey,Miami Vue
2022-01-12,837.52,East Orange,New Jersey,Miami Vue
2022-01-12,114.71,Kennebunkport,Maine,Erbayne Middleton
2022-01-12,9.09,Bayonne,New Jersey,Miami Vue
2022-01-12,23.44,Atlantic City,New Jersey,Miami Vue
2022-01-12,23.44,Atlantic City,New Jersey,Miami Vue
2022-01-12,57.7,Orono,Maine,Erbayne Middleton
2022-01-12,20.36,Lewiston,Maine,Erbayne Middleton
2022-01-12,29.3,Kennebunkport,Maine,Erbayne Middleton
2022-01-12,122.21,Bar Harbor,Maine,Erbayne Middleton
2022-01-12,107.06,Bar Harbor,Maine,Erbayne Middleton
2022-01-12,12.0,Clifton,New Jersey,Miami Vue
2022-01-13,28.69,Newark,New Jersey,Miami Vue
2022-01-13,26.52,Newark,New Jersey,Miami Vue
2022-01-13,39.72,Newark,New Jersey,Miami Vue
2022-01-13,57.7,Newark,New Jersey,Miami Vue
2022-01-13,51.96,Trenton,New Jersey,Miami Vue
2022-01-13,20.36,Trenton,New Jersey,Miami Vue
2022-01-13,51.96,Trenton,New Jersey,Miami Vue
2022-01-13,253.4,Vineland,New Jersey,Miami Vue
2022-01-13,65.5,Newark,New Jersey,Miami Vue
2022-01-13,272.24,New Brunswick,New Jersey,Miami Vue
2022-01-13,336.48,New Brunswick,New Jersey,Miami Vue
2022-01-13,17.7,East Orange,New Jersey,Miami Vue
2022-01-13,72.5,Montclair,New Jersey,Miami Vue
2022-01-13,66.0,Bangor,Maine,Erbayne Middleton
2022-01-13,191.95,Kennebunkport,Maine,Erbayne Middleton
2022-01-13,265.07,South Portland,Maine,Erbayne Middleton
2022-01-13,30.62,Bangor,Maine,Erbayne Middleton
2022-01-13,24.2,Bayonne,New Jersey,Miami Vue
2022-01-13,213.82,Bayonne,New Jersey,Miami Vue
2022-01-13,30.62,Cape May,New Jersey,Miami Vue
2022-01-13,57.7,Bayonne,New Jersey,Miami Vue
2022-01-14,1250.96,East Orange,New Jersey,Miami Vue
2022-01-14,10.16,Vineland,New Jersey,Miami Vue
2022-01-14,102.09,Trenton,New Jersey,Miami Vue
2022-01-14,12.4,Paterson,New Jersey,Miami Vue
2022-01-14,57.7,Passaic,New Jersey,Miami Vue
2022-01-14,13.13,Newark,New Jersey,Miami Vue
2022-01-14,13.13,Newark,New Jersey,Miami Vue
2022-01-14,39.75,Newark,New Jersey,Miami Vue
2022-01-14,1250.96,New Brunswick,New Jersey,Miami Vue
2022-01-14,31.89,Hoboken,New Jersey,Miami Vue
2022-01-14,39.72,Trenton,New Jersey,Miami Vue
2022-01-14,837.52,East Orange,New Jersey,Miami Vue
2022-01-14,254.9,Cape May,New Jersey,Miami Vue
2022-01-14,16.6,Bangor,Maine,Erbayne Middleton
2022-01-14,228.3,Bar Harbor,Maine,Erbayne Middleton
2022-01-14,28.92,Kennebunkport,Maine,Erbayne Middleton
2022-01-14,113.43,Orono,Maine,Erbayne Middleton
2022-01-14,1257.12,Clifton,New Jersey,Miami Vue
2022-01-14,10.16,Atlantic City,New Jersey,Miami Vue
2022-01-14,88.42,Atlantic City,New Jersey,Miami Vue
2022-01-14,206.16,Bayonne,New Jersey,Miami Vue
2022-01-14,241.4,South Portland,Maine,Erbayne Middleton
2022-01-15,23.44,Morristown,New Jersey,Miami Vue
2022-01-15,12.12,Trenton,New Jersey,Miami Vue
2022-01-15,2.4,Trenton,New Jersey,Miami Vue
2022-01-15,701.88,Trenton,New Jersey,Miami Vue
2022-01-15,28.92,Paterson,New Jersey,Miami Vue
2022-01-15,72.5,Passaic,New Jersey,Miami Vue
2022-01-15,166.0,Newark,New Jersey,Miami Vue
2022-01-15,223.8,New Brunswick,New Jersey,Miami Vue
2022-01-15,20.36,Morristown,New Jersey,Miami Vue
2022-01-15,24.28,Vineland,New Jersey,Miami Vue
2022-01-15,17.7,Hoboken,New Jersey,Miami Vue
2022-01-15,134.8,Jersey City,New Jersey,Miami Vue
2022-01-15,76.53,Kennebunkport,Maine,Erbayne Middleton
2022-01-15,76.4,Lewiston,Maine,Erbayne Middleton
2022-01-15,111.9,Atlantic City,New Jersey,Miami Vue
2022-01-15,10.1,Bangor,Maine,Erbayne Middleton
2022-01-15,52.9,East Orange,New Jersey,Miami Vue
2022-01-15,33.1,Hoboken,New Jersey,Miami Vue
2022-01-15,33.1,Hoboken,New Jersey,Miami Vue
2022-01-15,12.3,Clifton,New Jersey,Miami Vue
2022-01-16,19.48,Trenton,New Jersey,Miami Vue
2022-01-16,157.28,Paterson,New Jersey,Miami Vue
2022-01-16,204.58,Paterson,New Jersey,Miami Vue
2022-01-16,17.7,Passaic,New Jersey,Miami Vue
2022-01-16,1717.7,Passaic,New Jersey,Miami Vue
2022-01-16,171.98,Newark,New Jersey,Miami Vue
2022-01-16,206.16,Montclair,New Jersey,Miami Vue
2022-01-16,12.0,Morristown,New Jersey,Miami Vue
2022-01-16,8.45,Hackensack,New Jersey,Miami Vue
2022-01-16,188.2,Hackensack,New Jersey,Miami Vue
2022-01-16,74.28,East Orange,New Jersey,Miami Vue
2022-01-16,7.85,Lewiston,Maine,Erbayne Middleton
2022-01-16,12.15,Lewiston,Maine,Erbayne Middleton
2022-01-16,182.25,Bangor,Maine,Erbayne Middleton
2022-01-16,303.52,Bangor,Maine,Erbayne Middleton
2022-01-16,20.36,Jersey City,New Jersey,Miami Vue
2022-01-17,296.6,Jersey City,New Jersey,Miami Vue
2022-01-17,14.32,Jersey City,New Jersey,Miami Vue
2022-01-17,24.28,Jersey City,New Jersey,Miami Vue
2022-01-17,110.25,Montclair,New Jersey,Miami Vue
2022-01-17,18.0,Morristown,New Jersey,Miami Vue
2022-01-17,9.95,Vineland,New Jersey,Miami Vue
2022-01-17,9.95,Trenton,New Jersey,Miami Vue
2022-01-17,6.0,Trenton,New Jersey,Miami Vue
2022-01-17,57.12,Trenton,New Jersey,Miami Vue
2022-01-17,28.69,Vineland,New Jersey,Miami Vue
2022-01-17,33.1,Vineland,New Jersey,Miami Vue
2022-01-17,44.4,Hoboken,New Jersey,Miami Vue
2022-01-17,24.33,New Brunswick,New Jersey,Miami Vue
2022-01-17,6.0,Hackensack,New Jersey,Miami Vue
2022-01-17,12.3,Lewiston,Maine,Erbayne Middleton
2022-01-17,17.7,Clifton,New Jersey,Miami Vue
2022-01-17,32.64,Bangor,Maine,Erbayne Middleton
2022-01-17,10.1,Bar Harbor,Maine,Erbayne Middleton
2022-01-17,10.16,Bar Harbor,Maine,Erbayne Middleton
2022-01-17,43.3,Kennebunkport,Maine,Erbayne Middleton
2022-01-17,26.52,Lewiston,Maine,Erbayne Middleton
2022-01-17,2.4,Bangor,Maine,Erbayne Middleton
2022-01-17,17.7,Atlantic City,New Jersey,Miami Vue
2022-01-17,20.36,Cape May,New Jersey,Miami Vue
2022-01-17,737.52,Clifton,New Jersey,Miami Vue
2022-01-17,24.28,Clifton,New Jersey,Miami Vue
2022-01-17,24.28,Clifton,New Jersey,Miami Vue
2022-01-17,27.52,Orono,Maine,Erbayne Middleton
2022-01-17,28.92,East Orange,New Jersey,Miami Vue
2022-01-18,30.16,Jersey City,New Jersey,Miami Vue
2022-01-18,312.7,Trenton,New Jersey,Miami Vue
2022-01-18,76.36,Trenton,New Jersey,Miami Vue
2022-01-18,71.8,Newark,New Jersey,Miami Vue
2022-01-18,12.15,Newark,New Jersey,Miami Vue
2022-01-18,205.8,Newark,New Jersey,Miami Vue
2022-01-18,75.42,Newark,New Jersey,Miami Vue
2022-01-18,1317.7,Newark,New Jersey,Miami Vue
2022-01-18,12.3,New Brunswick,New Jersey,Miami Vue
2022-01-18,155.0,Clifton,New Jersey,Miami Vue
2022-01-18,6.52,Clifton,New Jersey,Miami Vue
2022-01-18,19.36,Cape May,New Jersey,Miami Vue
2022-01-18,206.16,Bayonne,New Jersey,Miami Vue
2022-01-18,33.1,Atlantic City,New Jersey,Miami Vue
2022-01-18,30.16,Atlantic City,New Jersey,Miami Vue
2022-01-18,698.8,South Portland,Maine,Erbayne Middleton
2022-01-18,6.0,Kennebunkport,Maine,Erbayne Middleton
2022-01-18,61.14,Bar Harbor,Maine,Erbayne Middleton
2022-01-18,798.8,East Orange,New Jersey,Miami Vue
2022-01-19,27.52,Jersey City,New Jersey,Miami Vue
2022-01-19,23.44,Montclair,New Jersey,Miami Vue
2022-01-19,23.44,Montclair,New Jersey,Miami Vue
2022-01-19,52.9,New Brunswick,New Jersey,Miami Vue
2022-01-19,12.3,New Brunswick,New Jersey,Miami Vue
2022-01-19,6.02,Trenton,New Jersey,Miami Vue
2022-01-19,144.4,Newark,New Jersey,Miami Vue
2022-01-19,9.09,Paterson,New Jersey,Miami Vue
2022-01-19,17.7,Trenton,New Jersey,Miami Vue
2022-01-19,40.55,Hoboken,New Jersey,Miami Vue
2022-01-19,253.4,Newark,New Jersey,Miami Vue
2022-01-19,13.13,Cape May,New Jersey,Miami Vue
2022-01-19,30.62,Hackensack,New Jersey,Miami Vue
2022-01-19,24.28,Cape May,New Jersey,Miami Vue
2022-01-19,201.8,Bangor,Maine,Erbayne Middleton
2022-01-19,232.4,Bar Harbor,Maine,Erbayne Middleton
2022-01-19,60.72,Kennebunkport,Maine,Erbayne Middleton
2022-01-19,6.0,Orono,Maine,Erbayne Middleton
2022-01-19,24.28,Orono,Maine,Erbayne Middleton
2022-01-19,207.85,Kennebunkport,Maine,Erbayne Middleton
2022-01-19,2.4,Bayonne,New Jersey,Miami Vue
2022-01-19,111.9,Bayonne,New Jersey,Miami Vue
2022-01-19,201.8,Bayonne,New Jersey,Miami Vue
2022-01-19,24.28,Cape May,New Jersey,Miami Vue
2022-01-19,13.13,Cape May,New Jersey,Miami Vue
2022-01-19,2.4,Atlantic City,New Jersey,Miami Vue
2022-01-20,23.44,Hackensack,New Jersey,Miami Vue
2022-01-20,4.32,Trenton,New Jersey,Miami Vue
2022-01-20,2.88,Trenton,New Jersey,Miami Vue
2022-01-20,24.28,Passaic,New Jersey,Miami Vue
2022-01-20,24.28,Passaic,New Jersey,Miami Vue
2022-01-20,178.8,Newark,New Jersey,Miami Vue
2022-01-20,27.52,Jersey City,New Jersey,Miami Vue
2022-01-20,75.42,Hoboken,New Jersey,Miami Vue
2022-01-20,237.28,Hackensack,New Jersey,Miami Vue
2022-01-20,12.4,Clifton,New Jersey,Miami Vue
2022-01-20,20.36,Bayonne,New Jersey,Miami Vue
2022-01-20,187.25,Atlantic City,New Jersey,Miami Vue
2022-01-20,13.13,South Portland,Maine,Erbayne Middleton
2022-01-20,12.3,Lewiston,Maine,Erbayne Middleton
2022-01-20,28.92,Bar Harbor,Maine,Erbayne Middleton
2022-01-20,18.0,Bangor,Maine,Erbayne Middleton
2022-01-20,39.72,Bangor,Maine,Erbayne Middleton
2022-01-20,44.5,Bangor,Maine,Erbayne Middleton
2022-01-21,9.95,East Orange,New Jersey,Miami Vue
2022-01-21,34.14,Morristown,New Jersey,Miami Vue
2022-01-21,17.7,Morristown,New Jersey,Miami Vue
2022-01-21,188.12,Newark,New Jersey,Miami Vue
2022-01-21,32.11,Passaic,New Jersey,Miami Vue
2022-01-21,39.72,Trenton,New Jersey,Miami Vue
2022-01-21,68.88,Paterson,New Jersey,Miami Vue
2022-01-21,39.72,Trenton,New Jersey,Miami Vue
2022-01-21,112.0,East Orange,New Jersey,Miami Vue
2022-01-21,32.64,Trenton,New Jersey,Miami Vue
2022-01-21,2.4,Passaic,New Jersey,Miami Vue
2022-01-21,61.14,Cape May,New Jersey,Miami Vue
2022-01-21,29.3,Passaic,New Jersey,Miami Vue
2022-01-21,50.96,Bayonne,New Jersey,Miami Vue
2022-01-21,20.36,Cape May,New Jersey,Miami Vue
2022-01-21,39.75,Bangor,Maine,Erbayne Middleton
2022-01-21,132.9,Bar Harbor,Maine,Erbayne Middleton
2022-01-21,24.33,Kennebunkport,Maine,Erbayne Middleton
2022-01-21,20.36,Lewiston,Maine,Erbayne Middleton
2022-01-21,6.85,Kennebunkport,Maine,Erbayne Middleton
2022-01-21,192.26,Orono,Maine,Erbayne Middleton
2022-01-21,20.36,Orono,Maine,Erbayne Middleton
